,user,trial,task,action_type,x,y,sx,sy,tx,ty,distance,width,height,direction,timestamp,is_valid,is_success,start_time,movement_time,dx,mean_dx,std_dx,ID_list,WD_pairs_code,mean_time,std_time,variance_time,ID_square_list
3433,7,3,13,MOUSE_PRESSED,161.501666666667,91.6516666666667,240,105,166,105,75,8,-1,0,1583535218620,1,0,1583535218077,543,-4.49833333333339,0.089100378787861,2.48773016872936,3.37503943134692,9,725.808139534884,156.121089494375,24373.7945849108,11.3908911631466
3434,7,3,13,MOUSE_PRESSED,238.125,93.345,166,105,240,105,75,8,-1,0,1583535219428,1,1,1583535218819,609,-1.875,0.089100378787861,2.48773016872936,3.37503943134692,9,725.808139534884,156.121089494375,24373.7945849108,11.3908911631466
3435,7,4,13,MOUSE_PRESSED,163.83,91.8633333333333,240,105,166,105,75,8,-1,0,1583535219987,1,1,1583535219428,559,-2.17000000000004,0.089100378787861,2.48773016872936,3.37503943134692,9,725.808139534884,156.121089494375,24373.7945849108,11.3908911631466
3436,7,5,13,MOUSE_PRESSED,165.311666666667,97.79,240,105,166,105,75,8,-1,0,1583535222924,1,1,1583535222093,831,-0.688333333333389,0.089100378787861,2.48773016872936,3.37503943134692,9,725.808139534884,156.121089494375,24373.7945849108,11.3908911631466
3437,7,6,13,MOUSE_PRESSED,239.183333333333,97.155,166,105,240,105,75,8,-1,0,1583535223550,1,1,1583535222924,626,-0.816666666666691,0.089100378787861,2.48773016872936,3.37503943134692,9,725.808139534884,156.121089494375,24373.7945849108,11.3908911631466
3438,7,7,13,MOUSE_PRESSED,242.993333333333,97.5783333333333,166,105,240,105,75,8,-1,0,1583535224837,1,1,1583535224309,528,2.99333333333331,0.089100378787861,2.48773016872936,3.37503943134692,9,725.808139534884,156.121089494375,24373.7945849108,11.3908911631466
3439,7,8,13,MOUSE_PRESSED,171.661666666667,99.2716666666667,240,105,166,105,75,8,-1,0,1583535225523,1,0,1583535224837,686,5.66166666666666,0.089100378787861,2.48773016872936,3.37503943134692,9,725.808139534884,156.121089494375,24373.7945849108,11.3908911631466
3440,7,8,13,MOUSE_PRESSED,242.146666666667,102.235,166,105,240,105,75,8,-1,0,1583535226516,1,1,1583535225805,711,2.14666666666665,0.089100378787861,2.48773016872936,3.37503943134692,9,725.808139534884,156.121089494375,24373.7945849108,11.3908911631466
3441,7,9,13,MOUSE_PRESSED,168.063333333333,101.388333333333,240,105,166,105,75,8,-1,0,1583535227109,1,1,1583535226516,593,2.06333333333333,0.089100378787861,2.48773016872936,3.37503943134692,9,725.808139534884,156.121089494375,24373.7945849108,11.3908911631466
3442,7,10,13,MOUSE_PRESSED,240.876666666667,97.5783333333333,166,105,240,105,75,8,-1,0,1583535227852,1,1,1583535227109,743,0.876666666666637,0.089100378787861,2.48773016872936,3.37503943134692,9,725.808139534884,156.121089494375,24373.7945849108,11.3908911631466
3443,7,1,3,MOUSE_PRESSED,222.461666666667,101.388333333333,183,105,223,105,40,14,-1,0,1583535228909,1,1,1583535228397,512,-0.538333333333355,0.23236526946106,3.66028753382835,1.94753258010586,19,485.963636363636,126.618103493266,16032.1441322314,3.79288315057381
3444,7,2,3,MOUSE_PRESSED,186.478333333333,101.176666666667,223,105,183,105,40,14,-1,0,1583535229524,1,1,1583535228909,615,3.4783333333333,0.23236526946106,3.66028753382835,1.94753258010586,19,485.963636363636,126.618103493266,16032.1441322314,3.79288315057381
3445,7,3,3,MOUSE_PRESSED,190.288333333333,101.388333333333,223,105,183,105,40,14,-1,0,1583535231163,1,0,1583535230694,469,7.28833333333333,0.23236526946106,3.66028753382835,1.94753258010586,19,485.963636363636,126.618103493266,16032.1441322314,3.79288315057381
3446,7,3,3,MOUSE_PRESSED,221.615,100.33,183,105,223,105,40,14,-1,0,1583535232077,1,1,1583535231588,489,-1.38499999999999,0.23236526946106,3.66028753382835,1.94753258010586,19,485.963636363636,126.618103493266,16032.1441322314,3.79288315057381
3447,7,4,3,MOUSE_PRESSED,183.726666666667,102.87,223,105,183,105,40,14,-1,0,1583535232570,1,1,1583535232077,493,0.726666666666631,0.23236526946106,3.66028753382835,1.94753258010586,19,485.963636363636,126.618103493266,16032.1441322314,3.79288315057381
3448,7,5,3,MOUSE_PRESSED,219.498333333333,99.06,183,105,223,105,40,14,-1,0,1583535233300,1,1,1583535232570,730,-3.50166666666669,0.23236526946106,3.66028753382835,1.94753258010586,19,485.963636363636,126.618103493266,16032.1441322314,3.79288315057381
3449,7,6,3,MOUSE_PRESSED,183.091666666667,101.388333333333,223,105,183,105,40,14,-1,0,1583535234388,1,1,1583535233300,1088,0.09166666666664,0.23236526946106,3.66028753382835,1.94753258010586,19,485.963636363636,126.618103493266,16032.1441322314,3.79288315057381
3450,7,7,3,MOUSE_PRESSED,220.345,104.14,183,105,223,105,40,14,-1,0,1583535235301,1,1,1583535234388,913,-2.655,0.23236526946106,3.66028753382835,1.94753258010586,19,485.963636363636,126.618103493266,16032.1441322314,3.79288315057381
3451,7,8,3,MOUSE_PRESSED,187.113333333333,103.928333333333,223,105,183,105,40,14,-1,0,1583535235698,1,1,1583535235301,397,4.11333333333329,0.23236526946106,3.66028753382835,1.94753258010586,19,485.963636363636,126.618103493266,16032.1441322314,3.79288315057381
3452,7,9,3,MOUSE_PRESSED,219.921666666667,104.351666666667,183,105,223,105,40,14,-1,0,1583535236069,1,1,1583535235698,371,-3.07833333333335,0.23236526946106,3.66028753382835,1.94753258010586,19,485.963636363636,126.618103493266,16032.1441322314,3.79288315057381
3453,7,10,3,MOUSE_PRESSED,188.383333333333,103.505,223,105,183,105,40,14,-1,0,1583535236515,1,1,1583535236069,446,5.38333333333333,0.23236526946106,3.66028753382835,1.94753258010586,19,485.963636363636,126.618103493266,16032.1441322314,3.79288315057381
3454,7,1,15,MOUSE_PRESSED,234.103333333333,104.775,166,105,240,105,75,14,-1,0,1583535238125,1,1,1583535237571,554,-5.89666666666668,-0.338579881656822,7.15529248209522,2.66837850890879,21,611.565476190476,131.752412098682,17358.6980938209,7.12024386680632
3455,7,2,15,MOUSE_PRESSED,165.735,103.716666666667,240,105,166,105,75,14,-1,0,1583535238629,1,1,1583535238125,504,-0.264999999999986,-0.338579881656822,7.15529248209522,2.66837850890879,21,611.565476190476,131.752412098682,17358.6980938209,7.12024386680632
3456,7,3,15,MOUSE_PRESSED,239.395,102.658333333333,166,105,240,105,75,14,-1,0,1583535239156,1,1,1583535238629,527,-0.60499999999999,-0.338579881656822,7.15529248209522,2.66837850890879,21,611.565476190476,131.752412098682,17358.6980938209,7.12024386680632
3457,7,4,15,MOUSE_PRESSED,163.83,103.081666666667,240,105,166,105,75,14,-1,0,1583535239605,1,1,1583535239156,449,-2.17000000000004,-0.338579881656822,7.15529248209522,2.66837850890879,21,611.565476190476,131.752412098682,17358.6980938209,7.12024386680632
3458,7,5,15,MOUSE_PRESSED,235.585,102.235,166,105,240,105,75,14,-1,0,1583535240417,1,1,1583535239605,812,-4.41499999999999,-0.338579881656822,7.15529248209522,2.66837850890879,21,611.565476190476,131.752412098682,17358.6980938209,7.12024386680632
3459,7,6,15,MOUSE_PRESSED,163.618333333333,103.505,240,105,166,105,75,14,-1,0,1583535241282,1,1,1583535240417,865,-2.38166666666669,-0.338579881656822,7.15529248209522,2.66837850890879,21,611.565476190476,131.752412098682,17358.6980938209,7.12024386680632
3460,7,7,15,MOUSE_PRESSED,239.395,105.41,166,105,240,105,75,14,-1,0,1583535241884,1,1,1583535241282,602,-0.60499999999999,-0.338579881656822,7.15529248209522,2.66837850890879,21,611.565476190476,131.752412098682,17358.6980938209,7.12024386680632
3461,7,8,15,MOUSE_PRESSED,165.735,106.891666666667,240,105,166,105,75,14,-1,0,1583535242394,1,1,1583535241884,510,-0.264999999999986,-0.338579881656822,7.15529248209522,2.66837850890879,21,611.565476190476,131.752412098682,17358.6980938209,7.12024386680632
3462,7,9,15,MOUSE_PRESSED,238.336666666667,104.775,166,105,240,105,75,14,-1,0,1583535242988,1,1,1583535242394,594,-1.66333333333336,-0.338579881656822,7.15529248209522,2.66837850890879,21,611.565476190476,131.752412098682,17358.6980938209,7.12024386680632
3463,7,10,15,MOUSE_PRESSED,171.238333333333,106.468333333333,240,105,166,105,75,14,-1,0,1583535243492,1,1,1583535242988,504,5.23833333333332,-0.338579881656822,7.15529248209522,2.66837850890879,21,611.565476190476,131.752412098682,17358.6980938209,7.12024386680632
3464,7,1,18,MOUSE_PRESSED,263.948333333333,98.2133333333333,143,105,263,105,120,6,-1,0,1583535245724,1,1,1583535244525,1199,0.948333333333324,0.021306306306283,1.95547247614021,4.39231742277876,4,907.983783783784,222.655435550713,49575.4429802776,19.2924523424459
3465,7,2,18,MOUSE_PRESSED,144.145,99.695,263,105,143,105,120,6,-1,0,1583535247349,1,1,1583535245724,1625,1.14499999999995,0.021306306306283,1.95547247614021,4.39231742277876,4,907.983783783784,222.655435550713,49575.4429802776,19.2924523424459
3466,7,3,18,MOUSE_PRESSED,265.43,94.8266666666666,143,105,263,105,120,6,-1,0,1583535248205,1,1,1583535247349,856,2.42999999999995,0.021306306306283,1.95547247614021,4.39231742277876,4,907.983783783784,222.655435550713,49575.4429802776,19.2924523424459
3467,7,4,18,MOUSE_PRESSED,142.663333333333,100.753333333333,263,105,143,105,120,6,-1,0,1583535249132,1,1,1583535248205,927,-0.336666666666673,0.021306306306283,1.95547247614021,4.39231742277876,4,907.983783783784,222.655435550713,49575.4429802776,19.2924523424459
3468,7,5,18,MOUSE_PRESSED,259.926666666667,100.118333333333,143,105,263,105,120,6,-1,0,1583535250019,1,0,1583535249132,887,-3.07333333333338,0.021306306306283,1.95547247614021,4.39231742277876,4,907.983783783784,222.655435550713,49575.4429802776,19.2924523424459
3469,7,5,18,MOUSE_PRESSED,140.97,103.505,263,105,143,105,120,6,-1,0,1583535251299,1,1,1583535250381,918,-2.03,0.021306306306283,1.95547247614021,4.39231742277876,4,907.983783783784,222.655435550713,49575.4429802776,19.2924523424459
3470,7,6,18,MOUSE_PRESSED,264.795,101.176666666667,143,105,263,105,120,6,-1,0,1583535252372,1,1,1583535251299,1073,1.79500000000002,0.021306306306283,1.95547247614021,4.39231742277876,4,907.983783783784,222.655435550713,49575.4429802776,19.2924523424459
